Time (ms)	Distance 1 (um)	Distance 2 (um)	Force Channel 1 (pN)	Force Channel 2 (pN)	Force Channel 3 (pN)	Force Channel 4 (pN)	Force Channel 5 (pN)	Force Channel 6 (pN)	Force Channel 1 STDEV (pN)	Force Channel 2 STDEV (pN)	Force Channel 3 STDEV (pN)	Force Channel 4 STDEV (pN)	Force Channel 5 STDEV (pN)	Force Channel 6 STDEV (pN)	Force Trap 1 (pN)	Force Trap 2 (pN)	Force Trap 3 (pN)	Force Trap 1 STDEV (pN)	Force Trap 2 STDEV (pN)	Force Trap 3 STDEV (pN)	Bead 1 X position (um)	Bead 1 Y position (um)	Bead 2 X position (um)	Bead 2 Y position (um)	Bead 3 X position (um)	Bead 3 Y position (um)	Bead 4 X position (um)	Bead 4 Y position (um)
185.00000000	1.77640901	0.00000000	-0.15688750	0.45331586	0.28352533	-0.46277561	-1.69671937	-2.22052833	1.39463131	1.54110761	1.58405214	1.38225837	0.00032126	0.00041682	0.47969674	0.54272265	2.79456664	1.52611134	1.44013910	0.00038437	6.17644808	5.64782244	11.18179036	5.75116528	0.00000000	0.00000000	0.00000000	0.00000000
190.00000000	1.77912049	0.00000000	0.16654615	0.18389505	0.37879212	-0.60176507	-1.69687938	-2.22075675	1.40869000	1.35386024	1.35781898	1.35202426	0.00032518	0.00040660	0.24810282	0.71105884	2.79484529	1.37883727	1.35367124	0.00037863	6.17425594	5.64607762	11.18226641	5.75152505	0.00000000	0.00000000	0.00000000	0.00000000
195.00000000	1.77706855	0.00000000	-0.03863328	0.70495032	0.46964913	-0.44122898	-1.69673595	-2.22061169	1.33549776	1.54758597	1.36461395	1.32475480	0.00029990	0.00039822	0.70600813	0.64440152	2.79464294	1.54699430	1.34607378	0.00036507	6.17516152	5.64881181	11.18117684	5.75150590	0.00000000	0.00000000	0.00000000	0.00000000
200.00000000	1.77535939	0.00000000	0.52478894	0.79188999	0.49281934	-0.36866397	-1.69668995	-2.22057692	1.56116973	1.34041651	1.30132747	1.23435744	0.00030466	0.00038743	0.94999641	0.61545432	2.79458738	1.41144640	1.27770152	0.00035915	6.17578872	5.65144375	11.18016455	5.75066666	0.00000000	0.00000000	0.00000000	0.00000000
205.00000000	1.77530808	0.00000000	-0.03455718	0.61964110	0.34717781	-0.26148293	-1.69688281	-2.22066037	1.57424874	1.51729310	1.46725918	1.46131250	0.00029841	0.00040170	0.62060397	0.43463289	2.79477079	1.51747300	1.46510960	0.00036702	6.17743300	5.64721780	11.18169050	5.74976450	0.00000000	0.00000000	0.00000000	0.00000000
210.00000000	1.77889433	0.00000000	0.12787067	0.41127406	0.03598419	-0.47787582	-1.69679040	-2.22066427	1.39355509	1.40584962	1.58196600	1.25906888	0.00026861	0.00034891	0.43069393	0.47922871	2.79471778	1.40477022	1.26112120	0.00032165	6.17453979	5.64896536	11.18236832	5.75228905	0.00000000	0.00000000	0.00000000	0.00000000
215.00000000	1.77876758	0.00000000	0.32899954	-0.05808601	-0.17427050	-0.47331518	-1.69671935	-2.22064490	1.72726287	1.25418066	1.39523098	1.11225391	0.00030857	0.00037933	0.33408784	0.50437830	2.79465925	1.71487615	1.14970291	0.00035489	6.17388522	5.64772463	11.18156739	5.75199357	0.00000000	0.00000000	0.00000000	0.00000000
220.00000000	1.77757015	0.00000000	-0.23527383	0.19368320	0.78310288	-0.86323804	-1.69688768	-2.22071763	1.41451146	1.32717079	1.62556361	1.43552674	0.00030594	0.00039734	0.30474081	1.16551707	2.79481924	1.37989629	1.52425356	0.00036631	6.17549188	5.64613302	11.18190664	5.75369736	0.00000000	0.00000000	0.00000000	0.00000000
225.00000000	1.77905539	0.00000000	0.15060906	0.51944971	0.37215692	-0.52484222	-1.69668760	-2.22057626	1.56376573	1.53876197	1.44408467	1.35772039	0.00029196	0.00037903	0.54084294	0.64339733	2.79458543	1.54071543	1.38721439	0.00034947	6.17458561	5.64564877	11.18257215	5.74912225	0.00000000	0.00000000	0.00000000	0.00000000
230.00000000	1.77435955	0.00000000	0.24930115	0.24372475	0.48342863	0.00929821	-1.69670845	-2.22055742	1.64358646	1.19530498	1.33105026	1.29291330	0.00035073	0.00041654	0.34864425	0.48351804	2.79458312	1.44203241	1.33103636	0.00039356	6.17644944	5.64884635	11.17974870	5.75185678	0.00000000	0.00000000	0.00000000	0.00000000
